書道,しょどう,calligraphy
休学する,きゅうがくする,Leave of absence
安売りする,やすうりする,sale
有力な,ゆうりょくな,strong / influential
行動する,こうどうする,to act / to behave
質問する,しつもんする,to ask a question
入院する,にゅういんする,to be hospitalized
中止する,ちゅうしする,to cancel
閉会する,へいかいする,to close a meeting
会話する,かいわする,To converse
低下する,ていかする,to decline
研究する,けんきゅうする,to do research
教育する,きょういくする,to educate
入国する,にゅうこくする,to enter a country
入学する,にゅうがくする,to enter school
説明する,せつめいする,to explain
安心する,あんしんする,to feel relieved
下車する,げしゃする,to get off
外出する,がいしゅつする,to go out
通学する,つうがくする,to go to school
不足する,ふそくする,to lack
所有する,しょゆうする,to own to possess
荷作りする,にづくりする,to pack
読書する,どくしょする,to read a book
出荷する,しゅっかする,to ship / send out
勉強する,べんきょうする,To study
水泳する,すいえいする,to swim
旅行する,りょこうする,to travel
見学する,けんがくする,to visit for study / to observe
渡米する,とべいする,to visit USA
